rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
861740000000,,11127,,861,736060918,"""map""",,,10.0082235336,0.907342255116,-0.0134167969227,,0.0049301769954,0.00297359648116,0.0628455872831,-0.998006689832
861772000000,,11128,,861,768060587,"""map""",,,10.0083007812,0.907714366913,-0.0131903858855,,0.00494992666288,0.00294422942969,0.0628704539237,-0.998005172546
861808000000,,11129,,861,800060587,"""map""",,,10.0084342957,0.908184945583,-0.0128742242232,,0.00488915510554,0.00291515114998,0.0629381839093,-0.998001168595
861840000000,,11130,,861,832060587,"""map""",,,10.0086164474,0.908731579781,-0.0126021932811,,0.00491482722842,0.00294378524142,0.0629262563511,-0.998001800798
861872000000,,11131,,861,864060257,"""map""",,,10.0088243484,0.909370422363,-0.0124219562858,,0.00503644475861,0.00289166918151,0.0628932553687,-0.998003360231
861908000000,,11132,,861,904060257,"""map""",,,10.0088586807,0.909540176392,-0.0121868150309,,0.00515497766633,0.00294241448102,0.0629392797273,-0.997999735602
861940000000,,11133,,861,936060257,"""map""",,,10.0088920593,0.90962857008,-0.011995844543,,0.00513539749174,0.00295357252989,0.0629063630386,-0.998001800798
861972000000,,11134,,861,968059927,"""map""",,,10.0089769363,0.909843742847,-0.0118801994249,,0.00510263885374,0.00290902199393,0.0629156774922,-0.998001590064
862008000000,,11135,,862,59927,"""map""",,,10.0091085434,0.910150468349,-0.0118142161518,,0.00505463713296,0.00290551302184,0.0629516709008,-0.997999567015
862040000000,,11136,,862,32059927,"""map""",,,10.0092601776,0.910570144653,-0.0117647526786,,0.00508904995245,0.00285367643175,0.0629638091932,-0.997998724078
862072000000,,11137,,862,64059597,"""map""",,,10.0094385147,0.911094248295,-0.0116927186027,,0.00508673459228,0.00283871026695,0.0629840396804,-0.99799762826
862108000000,,11138,,862,104059597,"""map""",,,10.0094566345,0.911439180374,-0.0113099711016,,0.0050508047332,0.00281840503486,0.0629462339573,-0.998000199218
862140000000,,11139,,862,136059597,"""map""",,,10.0094804764,0.911746442318,-0.0110249314457,,0.0050416047841,0.00284838996571,0.0629405019859,-0.998000536392
862172000000,,11140,,862,168059268,"""map""",,,10.0095615387,0.912185788155,-0.0107481442392,,0.00505237774907,0.00279407469642,0.0628995352492,-0.998003149497
862208000000,,11141,,862,200059268,"""map""",,,10.009677887,0.912755846977,-0.0105653209612,,0.0050694999886,0.00278678255077,0.0628978915221,-0.998003275938
862240000000,,11142,,862,232059268,"""map""",,,10.0098667145,0.913430154324,-0.0104425745085,,0.00505853711586,0.00277721727411,0.0629769590099,-0.997998302609
862272000000,,11143,,862,264058939,"""map""",,,10.0100488663,0.914190769196,-0.0103400116786,,0.00503838178496,0.00278015627593,0.0630192322989,-0.997995731652
862308000000,,11144,,862,304058939,"""map""",,,10.0101556778,0.914683818817,-0.00992746930569,,0.00500886837197,0.00280105790238,0.0630647087485,-0.997992992106
862340000000,,11145,,862,336058939,"""map""",,,10.0102396011,0.915105760098,-0.00956766493618,,0.00502998229672,0.00287002693943,0.0630501259389,-0.997993582162
862372000000,,11146,,862,368058611,"""map""",,,10.0103750229,0.915629804134,-0.00921317003667,,0.00503600295756,0.00283763157104,0.0630231941027,-0.997995394477
862408000000,,11147,,862,400058611,"""map""",,,10.0105638504,0.916258454323,-0.00887804105878,,0.00500616726936,0.00291578401125,0.0630652145107,-0.997992570638
862440000000,,11148,,862,432058611,"""map""",,,10.0107936859,0.91699552536,-0.00867503974587,,0.00523560730402,0.00285953327965,0.0630872151656,-0.997990210414
862472000000,,11149,,862,464058283,"""map""",,,10.0110359192,0.917817413807,-0.00849257502705,,0.00529359297113,0.00288091210392,0.0631180245119,-0.997987892338
862508000000,,11150,,862,504058283,"""map""",,,10.0110273361,0.917952001095,-0.00802841410041,,0.00522029754362,0.00292120918323,0.0631381285586,-0.997986838667
862540000000,,11151,,862,536058283,"""map""",,,10.0110244751,0.918041646481,-0.00769439805299,,0.00523050737072,0.00289681364888,0.063131047888,-0.997987344429
862572000000,,11152,,862,568057955,"""map""",,,10.0110883713,0.91825646162,-0.00744457030669,,0.00523006754531,0.00288703747335,0.063177240834,-0.997984478443
862608000000,,11153,,862,600057955,"""map""",,,10.0112075806,0.918569862843,-0.00723016494885,,0.0053108097118,0.00285988436619,0.0632085559425,-0.997982160366
862640000000,,11154,,862,632057955,"""map""",,,10.0113649368,0.919012069702,-0.00711110467091,,0.00529196011003,0.00291349128855,0.0632359092471,-0.997980348052
862672000000,,11155,,862,664057628,"""map""",,,10.0115270615,0.919542789459,-0.00706200813875,,0.00530903575753,0.00289771758354,0.0632627989365,-0.997978577884
862708000000,,11156,,862,704057628,"""map""",,,10.0114326477,0.919633448124,-0.00689050927758,,0.00524802457231,0.0028727478807,0.0633271571742,-0.997974911108
862740000000,,11157,,862,736057628,"""map""",,,10.0113162994,0.919725298882,-0.00681780697778,,0.00525307075192,0.00293301285267,0.0633866685243,-0.997970949305
862772000000,,11158,,862,768057302,"""map""",,,10.01121521,0.919959425926,-0.00677514541894,,0.00528808037737,0.00290588798061,0.0634026843267,-0.997969853487
862808000000,,11159,,862,800057302,"""map""",,,10.0111322403,0.920331835747,-0.00676147732884,,0.00526048950276,0.00309914955565,0.0633655108063,-0.997971792242
862840000000,,11160,,862,832057302,"""map""",,,10.0111341476,0.920820653439,-0.00657510198653,,0.00521144612921,0.00307320578316,0.0633310768311,-0.997974278906
