rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
445980000000,,7590,,445,972112171,"""map""",,,-1.83723795414,-2.00275826454,3.3151011467,,-0.106871470058,0.139505371831,-0.00944384434584,-0.984391993358
446012000000,,7591,,446,4111932,"""map""",,,-1.86054682732,-2.024944067,3.33418369293,,-0.0950013514987,0.122886285993,-0.00920668402927,-0.987820344456
446044000000,,7592,,446,36111932,"""map""",,,-1.88469350338,-2.04727554321,3.35265111923,,-0.0690655098679,0.0862515169168,-0.00814656434867,-0.993843171255
446080000000,,7593,,446,76111932,"""map""",,,-1.91514515877,-2.07486248016,3.37510919571,,-0.0487124127906,0.0565445366247,-0.00661713950991,-0.997189040971
446112000000,,7594,,446,108111693,"""map""",,,-1.9391053915,-2.09630513191,3.39290308952,,-0.0416941498696,0.0465257684354,-0.00586098290077,-0.998029406984
446144000000,,7595,,446,140111693,"""map""",,,-1.96232879162,-2.11698031425,3.41018629074,,-0.0274934183418,0.0263536640019,-0.00373349428164,-0.999267597099
446180000000,,7596,,446,172111693,"""map""",,,-1.9846663475,-2.13937973976,3.42782831192,,-0.0171197117025,0.0127748240411,-0.00124847394659,-0.999771125498
446212000000,,7597,,446,204111453,"""map""",,,-2.00590491295,-2.16056132317,3.4445233345,,-0.0146497679208,0.00989072721596,-0.000315679895347,-0.999843702371
446244000000,,7598,,446,236111453,"""map""",,,-2.02606463432,-2.18050909042,3.4604511261,,-0.0106049753697,0.00646700996597,0.00218607273856,-0.999920493929
446280000000,,7599,,446,276111453,"""map""",,,-2.04985070229,-2.20375847816,3.47932052612,,-0.00928386404619,0.00749826819264,0.00429097064689,-0.999919566699
446312000000,,7600,,446,308111213,"""map""",,,-2.06782078743,-2.22110176086,3.49346995354,,-0.00919436500759,0.00877288656199,0.0052164311465,-0.999905658239
446344000000,,7601,,446,340111213,"""map""",,,-2.08501386642,-2.23741769791,3.50692987442,,-0.00985411724504,0.0115960511038,0.00681767421512,-0.999860982579
446380000000,,7602,,446,372111213,"""map""",,,-2.10391640663,-2.25662541389,3.51991558075,,-0.0109606567402,0.0148496597219,0.00846317147468,-0.999793884797
446412000000,,7603,,446,404110973,"""map""",,,-2.12200474739,-2.27463436127,3.5323381424,,-0.0115629373457,0.0163189204284,0.00924225596941,-0.999757259185
446444000000,,7604,,446,444110973,"""map""",,,-2.14360737801,-2.29560256004,3.54707455635,,-0.0126373304846,0.0185072175656,0.0107256564496,-0.999691341514
446480000000,,7605,,446,476110973,"""map""",,,-2.1601588726,-2.31126022339,3.55845284462,,-0.0133287152901,0.0195912397777,0.0120421554097,-0.999646750148
446512000000,,7606,,446,508110732,"""map""",,,-2.17612195015,-2.32603669167,3.56956982613,,-0.0134961067673,0.0198601814522,0.0125959649991,-0.999632335926
446548000000,,7607,,446,540110732,"""map""",,,-2.19153118134,-2.33999681473,3.58030438423,,-0.0135448551952,0.0199338195698,0.0137476276347,-0.999615013571
446580000000,,7608,,446,572110732,"""map""",,,-2.20925164223,-2.35740733147,3.59077763557,,-0.0134298621289,0.0194887284347,0.014573832306,-0.999613707019
446612000000,,7609,,446,604110492,"""map""",,,-2.22623920441,-2.37373209,3.60078859329,,-0.0133607060652,0.0191930613777,0.0149968602245,-0.999614086341
446644000000,,7610,,446,644110492,"""map""",,,-2.24654054642,-2.39274334908,3.6125292778,,-0.0130122594647,0.0184794653476,0.0158915113779,-0.999618343172
446680000000,,7611,,446,676110492,"""map""",,,-2.26205992699,-2.40687251091,3.62140655518,,-0.0124971951767,0.0176773642284,0.0165330707059,-0.999628964178
446712000000,,7612,,446,708110250,"""map""",,,-2.2769715786,-2.42011427879,3.6298418045,,-0.0120441308786,0.0169921290762,0.0168852076252,-0.999640554562
446744000000,,7613,,446,740110250,"""map""",,,-2.29129576683,-2.43251204491,3.63800311089,,-0.0114782822724,0.0160535564615,0.0173881881154,-0.999654041553
446780000000,,7614,,446,772110250,"""map""",,,-2.30749106407,-2.44792079926,3.64584898949,,-0.0110435846159,0.0152124953553,0.017844554191,-0.999664072503
446812000000,,7615,,446,804110009,"""map""",,,-2.32295084,-2.46226644516,3.65340995789,,-0.0109729616443,0.0148122642721,0.0180722314667,-0.999666769901
446844000000,,7616,,446,836110009,"""map""",,,-2.33770823479,-2.47565674782,3.66075873375,,-0.0106889661362,0.0139450317839,0.0184461583067,-0.999675536446
446880000000,,7617,,446,876110009,"""map""",,,-2.35522294044,-2.49116396904,3.66984820366,,-0.0104224149783,0.0133895191984,0.0187805514028,-0.999679666837
446912000000,,7618,,446,908109768,"""map""",,,-2.36855721474,-2.50266337395,3.67691922188,,-0.0101644174903,0.013066319548,0.0189104479899,-0.999684218697
446944000000,,7619,,446,940109768,"""map""",,,-2.381285429,-2.51341724396,3.68378663063,,-0.00953582539754,0.0122327860994,0.0192362852757,-0.999694713262
