rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
113884000000,,231,,113,804000000,"""map""",,,-0.00643507158384,0.0126112429425,-0.0092511922121,,0.0115852368152,-0.00346123946969,0.0199203707739,-0.999728472888
113884000000,,232,,113,804000000,"""map""",,,-0.00676515512168,0.012390631251,-0.00925765000284,,0.0115159134812,-0.00343376202937,0.0198930596161,-0.99972990588
113884000000,,233,,113,872000000,"""map""",,,-0.00710708787665,0.0121950181201,-0.00925298966467,,0.0115518752797,-0.00347040081162,0.0198639361437,-0.999729948027
113912000000,,234,,113,912000000,"""map""",,,-0.00746413413435,0.012073084712,-0.00932745076716,,0.0115821735954,-0.00353940837352,0.0198926381476,-0.999728810062
113944000000,,235,,113,944000000,"""map""",,,-0.00781083898619,0.0120511418208,-0.00949188601226,,0.0115345104488,-0.00355690886455,0.0198781396317,-0.999729568706
113976000000,,236,,113,976000000,"""map""",,,-0.00815712101758,0.0120634585619,-0.00967187993228,,0.0115738907518,-0.00355598756078,0.0198616180671,-0.999729400118
114012000000,,237,,114,12000000,"""map""",,,-0.00856626406312,0.0121490787715,-0.00993198156357,,0.011551783742,-0.00347895332914,0.0198145821841,-0.999730917405
114044000000,,238,,114,44000000,"""map""",,,-0.00874399673194,0.0120545355603,-0.00992078334093,,0.0115361475905,-0.00353929016478,0.0197890411939,-0.999731338873
114076000000,,239,,114,76000000,"""map""",,,-0.00888386275619,0.0119423056021,-0.00982394814491,,0.01151674654,-0.00347063854618,0.0197648910497,-0.999732308251
114112000000,,240,,114,112000000,"""map""",,,-0.00903216656297,0.0119110206142,-0.00991809833795,,0.0115247383069,-0.00346583545182,0.0197120810485,-0.999733277628
114144000000,,241,,114,144000000,"""map""",,,-0.00920700002462,0.0119425151497,-0.0101269884035,,0.0115436740956,-0.00343913542328,0.0196688805288,-0.999733994125
114176000000,,242,,114,176000000,"""map""",,,-0.00942166522145,0.0120340129361,-0.0104597629979,,0.0115573556871,-0.00344401425027,0.0196709878712,-0.999733825537
114212000000,,243,,114,212000000,"""map""",,,-0.00972904916853,0.0121995527297,-0.0107280556113,,0.0115496500578,-0.00343769551572,0.0196472170487,-0.999734415593
114244000000,,244,,114,244000000,"""map""",,,-0.00958968512714,0.01237011794,-0.0105965072289,,0.0116019756995,-0.00354604419725,0.0196758347588,-0.99973285616
114276000000,,245,,114,276000000,"""map""",,,-0.00933473650366,0.0125911245123,-0.0103936912492,,0.0115899427742,-0.00346278309802,0.0196606197465,-0.999733572656
